Agency,SKU,YearMonth,Volume,Avg_Max_Temp,Price,Sales,Promotions,Industry_Volume,Soda_Volume,Easter Day,Good Friday,New Year,Christmas,Labor Day,Independence Day,Revolution Day Memorial,Regional Games ,FIFA U-17 World Cup,Football Gold Cup,Beer Capital,Music Fest,Avg_Population_2017,Avg_Yearly_Household_Income_2017
Agency_48,SKU_03,201301,6493.814243,24.05289256,1330.643851,1263.553534,67.090317,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1739969,210213
Agency_53,SKU_15,201301,0.0,23.89354839,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1729177,111048
Agency_38,SKU_04,201301,2115.2178,22.21973684,1723.634393,1642.597622,81.036771,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1515841,173884
Agency_01,SKU_04,201301,230.2956,17.072,1725.711827,1467.68186,258.029967,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,153733,120207
Agency_41,SKU_03,201301,737.5428,23.89354839,1239.869073,1166.78186,73.087213,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1573238,125229
Agency_20,SKU_21,201301,0.0,22.21973684,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1825752,102317
Agency_17,SKU_01,201301,79.164,22.21973684,1201.125,1143.050563,58.074437,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,147910,123013
Agency_13,SKU_03,201301,276.219,22.21973684,1250.632814,1158.388445,92.244369,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1520066,110666
Agency_17,SKU_02,201301,856.548,22.21973684,1201.125,1124.020355,77.104645,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,147910,123013
Agency_38,SKU_03,201301,2567.9484,22.21973684,1254.941546,1211.009009,43.932537,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1515841,173884
Agency_51,SKU_04,201301,3721.536,24.05289256,1727.486349,1411.296353,316.189996,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1750152,238870
Agency_17,SKU_05,201301,739.8342,22.21973684,1302.989855,1229.401214,73.588641,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,147910,123013
Agency_01,SKU_03,201301,35.955,17.072,1239.734043,1141.894806,97.839237,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,153733,120207
Agency_48,SKU_23,201301,0.0,24.05289256,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1739969,210213
Agency_45,SKU_01,201301,32.616,30.81142857,1176.035417,1176.035417,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,176318,137609
Agency_48,SKU_17,201301,0.0,24.05289256,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1739969,210213
Agency_45,SKU_02,201301,40.5,30.81142857,1178.341061,1178.341061,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,176318,137609
Agency_38,SKU_14,201301,0.0,22.21973684,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1515841,173884
Agency_55,SKU_01,201301,3777.3,21.20731707,1144.459051,1014.878638,129.580413,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,2025793,238553
Agency_50,SKU_01,201301,1144.8,24.07901235,1222.949469,1214.831647,8.117822,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,2057678,144594
Agency_45,SKU_05,201301,260.6481,30.81142857,1368.887961,1368.887961,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,176318,137609
Agency_48,SKU_28,201301,0.0,24.05289256,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1739969,210213
Agency_17,SKU_04,201301,340.587,22.21973684,1749.295775,1615.518828,133.776947,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,147910,123013
Agency_13,SKU_20,201301,0.0,22.21973684,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1520066,110666
Agency_55,SKU_02,201301,824.364,21.20731707,1113.745427,1069.704737,44.04069,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,2025793,238553
Agency_50,SKU_02,201301,10098.432,24.07901235,1225.171481,1125.231213,99.940268,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,2057678,144594
Agency_45,SKU_04,201301,185.7573,30.81142857,1743.175326,1708.807629,34.367697,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,176318,137609
Agency_51,SKU_03,201301,3513.3534,24.05289256,1331.090275,1230.196357,100.893918,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1750152,238870
Agency_55,SKU_05,201301,201.0294,21.20731707,1282.900571,1053.045023,229.855548,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,2025793,238553
Agency_50,SKU_05,201301,4190.562,24.07901235,1319.212094,1226.521583,92.690511,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,2057678,144594
Agency_07,SKU_01,201301,6841.044,25.36,1175.324069,1085.409365,89.914704,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1868030,175785
Agency_17,SKU_03,201301,12.0978,22.21973684,1250.585106,1180.972697,69.612409,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,147910,123013
Agency_33,SKU_04,201301,0.7029,23.7,1992.368758,1842.772087,149.596671,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,39719,91375
Agency_38,SKU_21,201301,0.0,22.21973684,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1515841,173884
Agency_45,SKU_08,201301,8.5626,30.81142857,1499.532193,1499.532193,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,176318,137609
Agency_45,SKU_03,201301,33.9246,30.81142857,1317.206572,1317.206572,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,176318,137609
Agency_10,SKU_01,201301,2767.5,25.36,1185.2452,1077.629812,107.615388,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1716027,117463
Agency_07,SKU_02,201301,514.512,25.36,1132.55129,1045.527881,87.023409,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1868030,175785
Agency_07,SKU_05,201301,94.2525,25.36,1324.847865,1211.293111,113.554754,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1868030,175785
Agency_08,SKU_01,201301,128.304,24.07901235,1175.5625,1086.035617,89.526883,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,71662,123610
Agency_55,SKU_04,201301,1958.5989,21.20731707,1735.602978,1584.436801,151.166177,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,2025793,238553
Agency_50,SKU_04,201301,1871.0559,24.07901235,1740.959669,599.1799583,1141.779711,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,2057678,144594
Agency_10,SKU_02,201301,104.436,25.36,1152.238689,1065.811208,86.427481,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1716027,117463
Agency_10,SKU_05,201301,29.7135,25.36,1383.226034,1337.581781,45.644253,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1716027,117463
Agency_42,SKU_01,201301,239.652,23.89354839,1132.9375,1103.174258,29.763242,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,175794,110057
Agency_08,SKU_02,201301,0.0,24.07901235,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,71662,123610
Agency_51,SKU_17,201301,0.0,24.05289256,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1750152,238870
Agency_42,SKU_02,201301,175.284,23.89354839,1106.555063,1078.136841,28.418222,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,175794,110057
Agency_08,SKU_05,201301,0.0,24.07901235,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,71662,123610
Agency_42,SKU_05,201301,476.3106,23.89354839,1259.788732,1157.323432,102.4653,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,175794,110057
Agency_33,SKU_03,201301,3.5532,23.7,1178.098404,1178.098404,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,39719,91375
Agency_33,SKU_18,201301,6.345,23.7,1108.282979,1093.73617,14.546809,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,39719,91375
Agency_42,SKU_04,201301,170.2296,23.89354839,1698.90845,1579.315027,119.593423,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,175794,110057
Agency_07,SKU_04,201301,2338.74,25.36,1738.971567,1594.730656,144.240911,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1868030,175785
Agency_39,SKU_01,201301,2354.832,22.21973684,1167.261138,1087.793629,79.467509,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1448423,131411
Agency_08,SKU_04,201301,192.339,24.07901235,1742.112676,1589.098112,153.014564,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,71662,123610
Agency_55,SKU_03,201301,3990.2436,21.20731707,1258.08892,1143.512393,114.576527,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,2025793,238553
Agency_39,SKU_07,201301,2.655,22.21973684,1120.283898,1057.70339,62.580508,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1448423,131411
Agency_50,SKU_03,201301,400.2426,24.07901235,1330.907102,1296.215916,34.691186,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,2057678,144594
Agency_23,SKU_01,201301,42.444,25.8452381,1167.0,1060.82236,106.17764,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,49101,90240
Agency_47,SKU_02,201301,0.432,30.82888889,1201.125,1201.125,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,32183,128574
Agency_23,SKU_02,201301,52.164,25.8452381,1167.0,1060.072593,106.927407,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,49101,90240
Agency_47,SKU_05,201301,0.0,30.82888889,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,32183,128574
Agency_07,SKU_21,201301,0.0,25.36,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1868030,175785
Agency_39,SKU_02,201301,3634.632,22.21973684,1167.173142,1087.483166,79.689976,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1448423,131411
Agency_10,SKU_04,201301,1824.0894,25.36,1758.558778,1560.183078,198.3757,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1716027,117463
Agency_11,SKU_03,201301,74.9556,25.36,1289.159082,1191.265549,97.893533,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,135561,100461
Agency_23,SKU_05,201301,555.4188,25.8452381,1310.176057,1173.644798,136.531259,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,49101,90240
Agency_46,SKU_01,201301,2973.564,24.05289256,1193.513129,1183.866526,9.646603,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1709754,212229
Agency_39,SKU_05,201301,6502.9752,22.21973684,1296.037446,1145.392053,150.645393,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1448423,131411
Agency_46,SKU_03,201301,1720.5948,24.05289256,1275.13121,1233.411285,41.719925,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1709754,212229
Agency_42,SKU_03,201301,567.3276,23.89354839,1239.734043,1191.005435,48.728608,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,175794,110057
Agency_47,SKU_04,201301,80.6418,30.82888889,1742.112676,1555.167206,186.94547,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,32183,128574
Agency_08,SKU_03,201301,7.5294,24.07901235,1288.643617,1204.416089,84.227528,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,71662,123610
Agency_23,SKU_04,201301,24.6015,25.8452381,1742.112676,1581.480428,160.632248,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,49101,90240
Agency_46,SKU_02,201301,4123.548,24.05289256,1194.218946,1178.938427,15.280519,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1709754,212229
Agency_07,SKU_03,201301,356.6736,25.36,1288.643617,1190.668945,97.974672,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1868030,175785
Agency_46,SKU_05,201301,4575.7512,24.05289256,1293.615167,1233.8543,59.760867,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1709754,212229
Agency_10,SKU_32,201301,111.1221,25.36,1539.530368,1388.222489,151.307879,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1716027,117463
Agency_30,SKU_01,201301,1131.408,26.40169492,1138.206453,1087.282401,50.924052,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1094349,247220
Agency_54,SKU_01,201301,52.488,21.75438596,1154.937371,1154.937371,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,48332,122313
Agency_30,SKU_02,201301,158.976,26.40169492,1082.025755,1072.945643,9.080112,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1094349,247220
Agency_39,SKU_04,201301,1611.0468,22.21973684,1730.828687,1589.925152,140.903535,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1448423,131411
Agency_54,SKU_02,201301,27.324,21.75438596,1169.45331,1169.45331,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,48332,122313
Agency_50,SKU_17,201301,0.0,24.07901235,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,2057678,144594
Agency_30,SKU_05,201301,223.9695,26.40169492,1463.502263,1413.994789,49.507474,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1094349,247220
Agency_23,SKU_03,201301,0.0,25.8452381,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,49101,90240
Agency_47,SKU_03,201301,237.5568,30.82888889,1277.792554,1129.660138,148.132416,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,32183,128574
Agency_54,SKU_05,201301,61.2162,21.75438596,1315.970699,1315.562498,0.408201,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,48332,122313
Agency_46,SKU_17,201301,0.0,24.05289256,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1709754,212229
Agency_30,SKU_06,201301,22.356,26.40169492,1076.359641,1076.359641,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1094349,247220
Agency_46,SKU_04,201301,3925.1853,24.05289256,1722.803207,1303.032786,419.770421,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1709754,212229
Agency_32,SKU_01,201301,1747.008,21.75438596,1120.036599,1097.425697,22.610902,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1199179,126063
Agency_10,SKU_03,201301,1907.3916,25.36,1295.209803,1196.373029,98.836774,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1716027,117463
Agency_18,SKU_01,201301,0.54,30.59489796,1201.125,1117.0375,84.0875,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,60189,135477
Agency_54,SKU_04,201301,78.1497,21.75438596,1749.384148,1741.903221,7.480927,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,48332,122313
Agency_57,SKU_01,201301,7395.948,22.21973684,1220.425184,1110.166349,110.258835,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,2212416,187351
Agency_12,SKU_01,201301,9191.772,22.21973684,1205.459203,1100.188659,105.270544,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1596955,205376
Agency_34,SKU_22,201301,0.5964,24.6,2031.179577,2031.179577,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,12271,97222
Agency_32,SKU_02,201301,1895.724,21.75438596,1111.016218,1082.456546,28.559672,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1199179,126063
Agency_57,SKU_07,201301,126.555,22.21973684,1134.702335,1115.323746,19.378589,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,2212416,187351
Agency_30,SKU_04,201301,3124.3905,26.40169492,1787.423423,1566.848242,220.575181,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1094349,247220
Agency_12,SKU_07,201301,18.585,22.21973684,1134.584746,1112.344068,22.240678,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1596955,205376
Agency_32,SKU_05,201301,2476.8918,21.75438596,1273.52787,1152.598599,120.929271,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1199179,126063
Agency_47,SKU_01,201301,6.48,30.82888889,1201.125,1197.521875,3.603125,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,32183,128574
Agency_23,SKU_21,201301,0.0,25.8452381,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,49101,90240
Agency_59,SKU_01,201301,8203.356,22.21973684,1225.268116,1134.646428,90.621688,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1219986,218902
Agency_18,SKU_02,201301,0.0,30.59489796,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,60189,135477
Agency_57,SKU_02,201301,2330.748,22.21973684,1221.485307,1114.083097,107.40221,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,2212416,187351
Agency_12,SKU_02,201301,0.432,22.21973684,1242.640625,1211.015625,31.625,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1596955,205376
Agency_59,SKU_07,201301,10.62,22.21973684,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1219986,218902
Agency_34,SKU_04,201301,0.0,24.6,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,12271,97222
Agency_18,SKU_05,201301,375.1569,30.59489796,1302.960074,1204.267665,98.692409,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,60189,135477
Agency_47,SKU_17,201301,0.0,30.82888889,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,32183,128574
Agency_39,SKU_03,201301,214.5456,22.21973684,1256.365617,1171.002008,85.363609,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1448423,131411
Agency_19,SKU_01,201301,0.0,26.40169492,0.0,0.0,0.0,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,48146,122042
Agency_57,SKU_05,201301,1837.5084,22.21973684,1309.952235,1203.906029,106.046206,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,2212416,187351
Agency_12,SKU_05,201301,1618.8426,22.21973684,1295.167986,1191.041893,104.126093,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1596955,205376
Agency_19,SKU_02,201301,50.112,26.40169492,1073.3125,980.1989262,93.1135738,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,48146,122042
Agency_59,SKU_02,201301,1806.732,22.21973684,1225.257446,1157.56294,67.694506,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,1219986,218902
Agency_19,SKU_05,201301,93.7413,26.40169492,1526.091549,1382.156268,143.935281,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,48146,122042
Agency_54,SKU_03,201301,136.5444,21.75438596,1256.142776,1255.832872,0.309904,492612703,718394219,0,0,1,0,0,0,0,0,0,0,0,0,48332,122313
